序号,登记号,试验状态,药物名称,适应症,试验题目,申办者,机构名称,所在城市,所在省份,主要研究者
117,CTR20180687,进行中,头孢克洛胶囊,主要用于由敏感菌所致呼吸系统、泌尿系统、耳鼻喉科及皮肤、软组织感染等。,头孢克洛胶囊生物等效性试验,昆明贝克诺顿制药有限公司,常州市第一人民医院,常州,江苏,吴敏
118,CTR20180685,已完成,盐酸伐地那非片,治疗男性勃起功能障碍,盐酸伐地那非片人体生物等效性研究,四川科伦药业股份有限公司,厦门大学附属第一医院药物临床试验机构,厦门,福建,刘家俊
120,CTR20180678,已完成,氟哌噻吨美利曲辛片,轻、中度抑郁和焦虑。神经衰弱、心因性抑郁，抑郁性神经官能症，隐弱性抑郁，心身疾病伴焦虑和情感淡漠，更年期抑郁，嗜酒及药瘾者的焦躁不安及抑郁。,氟哌噻吨美利曲辛薄膜衣片和包衣片的生物等效性研究,丹麦灵北制药有限公司 | H.LundbeckA | S | Elaiapharm | 深圳市康哲药业有限公司,首都医科大学附属北京世纪坛医院,北京,北京,王兴河博士、教授
119,CTR20180684,进行中,甲硝唑片,用于治疗肠道和肠外阿米巴病（如阿米巴肝脓肿、胸膜阿米巴病等）。还可用于治疗阴道滴虫病、小袋虫病和皮肤利什曼病、麦地那龙线虫感染等。目前还广泛用于厌氧菌感染的治疗。,甲硝唑片生物等效性试验,青岛黄海制药有限责任公司,四川大学华西第二医院,成都,四川,张伶俐
121,CTR20180671,进行中,头孢氨苄胶囊,适用于敏感菌所致的急性扁桃体炎、咽峡炎、中耳炎、鼻窦炎、支气管炎、肺炎等呼吸道感染、尿路感染及皮肤软组织感染等。本品为口服制剂，不宜用于重症感染。,头孢氨苄胶囊人体生物等效性预试验,长春迪瑞制药有限公司,温州医科大学附属第二医院,温州市,浙江省,李挺
123,CTR20180669,进行中,头孢拉定胶囊,适用于敏感菌所致的急性咽炎、扁桃体炎、中耳炎、支气管炎和肺炎等呼吸道感染、泌尿生殖道感染及皮肤软组织感染等,头孢拉定胶囊人体生物等效性试验,扬子江药业集团有限公司,南京大学医学院附属鼓楼医院,南京市,江苏省,李娟
122,CTR20180670,进行中,利培酮片,用于治疗急性和慢性精神分裂症以及其它各种精神病性状态的明显的阳性症状（如：幻觉、妄想、思维紊乱、敌视、怀疑）和明显的阴性症状（如：反应迟钝、情绪淡漠及社交淡漠、少语）。也可减轻与精神分裂症有关的情感症状（如：抑郁、负罪感、焦虑）。对于急性期治疗有效的患者，在维持期治疗中，本品可继续发挥其临床疗效。,利培酮片1mg生物等效性研究,常州四药制药有限公司,华中科技大学同济医学院附属同济医院,武汉市,湖北省,刘东
124,CTR20180667,进行中,甲硝唑片,甲硝唑片，适用于治疗肠道和肠外阿米巴病（如阿米巴肝脓肿、胸膜阿米巴病等）。还可用于治疗阴道滴虫病、小袋虫病和皮肤利什曼病、麦地那龙线虫感染等。目前还广泛用于厌氧菌感染的治疗。,甲硝唑片（200mg）生物等效性试验,蚌埠丰原涂山制药有限公司,郴州市第一人民医院,郴州市,湖南省,李仕周
125,CTR20180666,已完成,盐酸氨溴索片,适用于痰液粘稠而不易咳出者。,盐酸氨溴索片的健康人体生物等效性试验,常州四药制药有限公司,上海市徐汇区中心医院,上海,上海,刘罡一，上海医科大学药学院药学专业，理学学士
126,CTR20180659,进行中,米非司酮片,米非司酮片与前列腺素药物序贯合并使用，可用于终止停经49 天内的妊娠。,米非司酮片人体生物等效性试验,华润紫竹药业有限公司,上海市公共卫生临床中心,上海市,上海市,刘敏
127,CTR20180658,进行中,盐酸西替利嗪片,季节性鼻炎、过敏性鼻炎、过敏性结膜炎及过敏引起的瘙痒和荨麻疹,盐酸西替利嗪片人体生物等效性试验,扬子江药业集团有限公司,苏州大学附属第一医院,苏州市,江苏省,缪丽燕
129,CTR20180655,进行中,布地奈德吸入混悬液,本品用于治疗支气管哮喘。 可替代或减少口服类固醇治疗,布地奈德吸入混悬液人体生物等效性试验（预试验）,深圳太太药业有限公司,福建医科大学附属第一医院药物临床试验机构,福州,福建,林翠鸿；刘亦伟
130,CTR20180653,进行中,盐酸克林霉素胶囊,本品适用于由链球菌属、葡萄球菌属及厌氧菌等敏感菌株所致的下述感染：中耳炎、鼻窦炎、化脓性扁桃体炎、肺炎；皮肤软组织感染；在治疗骨和关节感染、腹腔感染、盆腔感染、脓胸、肺脓肿、骨髓炎、败血症等疾病时，可根据情况单用或与其他抗菌药联合应用。,盐酸克林霉素胶囊人体生物等效性试验,山东方明药业集团股份有限公司,上海市公共卫生临床中心国家药物临床试验机构,金山区,上海市,刘莉
131,CTR20180652,进行中,呋塞米片,水肿性疾病、高血压、预防急性肾功能衰竭、高钾血症及高钙血症、稀释性低钠血症、抗利尿激素分泌过多症(SIADH)、急性药物毒物中毒,呋塞米片人体生物等效性研究,江苏亚邦爱普森药业有限公司,常州市第一人民医院,常州,江苏,杨敏
128,CTR20180656,进行中,醋酸去氨加压素片,1. 本品用于治疗中枢性尿崩症。 2. 本品用于治疗6岁或以上患者的夜间遗尿症。,醋酸去氨加压素片（0.1mg）空腹条件下的人体生物等效性试验,海南中和药业股份有限公司,常州市第二人民医院,常州,江苏,仲向东
133,CTR20180648,进行中,阿卡波糖片,2型糖尿病,阿卡波糖片健康人体生物等效性试验,信泰制药（苏州）有限公司,萍乡市人民医院,萍乡,江西,胡建康
134,CTR20180647,进行中,苯磺酸氨氯地平片,1、高血压病。可单独使用本品治疗，也可与其它抗高血压药物合用。 2、慢性稳定性心绞痛及变异型心绞痛。可单独使用本品治疗，也可与其它抗心绞痛药物合用。,苯磺酸氨氯地平片生物等效性试验,江苏亚邦爱普森药业有限公司,武汉市传染病医院,武汉,湖北,张定宇
132,CTR20180649,进行中,盐酸二甲双胍片,用于单纯饮食控制不满意的2型糖尿病，尤其是肥胖和伴高胰岛素血症者，用本药不但有降血糖作用，还可能有减轻体重和高胰岛素血症的效果。对某些磺酰脲类疗效差的患者可奏效，如与磺酰脲类、小肠糖苷酶抑制剂或噻唑烷二酮类降糖药合用，较分别单用的效果更好。亦可用于胰岛素治疗的患者，以减少胰岛素用量。,盐酸二甲双胍片生物等效性试验,郑州泰丰制药有限公司,中南大学湘雅医院,长沙市,湖南省,徐平声
135,CTR20180645,进行中,枸橼酸西地那非片,适用于治疗勃起功能障碍。,枸橼酸西地那非片健康人体生物等效性研究,江苏亚邦爱普森药业有限公司,厦门大学附属第一医院,厦门,福建,刘家俊
136,CTR20180644,进行中,氟康唑胶囊,本品适用于以下真菌病：全身性念珠菌病、隐球菌病、黏膜念珠菌病、急性或复发性阴道念珠菌病、对接受化疗或放疗而容易发生真菌感染的白血病患者及其他恶性肿瘤患者的预防、皮肤真菌病、皮肤着色真菌病。,氟康唑胶囊人体生物等效性试验,山东方明药业集团股份有限公司,常州市第一人民医院,常州市,江苏省,顾伟英
137,CTR20180642,进行中,那格列奈片,本品可以单独用于经饮食和运动不能有效控制高血糖的2型糖尿病病人。也可用于使用二甲双胍不能有效控制高血糖的2型糖尿病病人，采用与二甲双胍联合应用，但不能替代二甲双胍。 那格列奈不适用于对磺脲类降糖药治疗不理想的2型糖尿病病人。,那格列奈片生物等效性试验,天方药业有限公司,徐州医科大学附属医院,徐州市,江苏省,许铁
139,CTR20180633,已完成,盐酸贝那普利片,高血压,盐酸贝那普利片在空腹条件下人体生物等效性试验,深圳信立泰药业股份有限公司,南昌大学第一附属医院国家药物临床试验机构,南昌,江西,王共先，魏筱华
138,CTR20180634,进行中,达沙替尼片,用于治疗对甲磺酸伊马替尼耐药，或不耐受的费城染色体阳性（Ph+）慢性髓系细胞白血病（CML)慢性期、加速期和急变期（急粒变和急淋变）成年患者。,达沙替尼片人体生物等效性研究,南京优科制药有限公司,皖南医学院弋矶山医院药物临床试验机构,芜湖,安徽,童九翠
140,CTR20180632,进行中,琥珀酸多西拉敏片-餐后,用于帮助减轻入睡困难,琥珀酸多西拉敏片人体生物等效性试验,苏州第四制药厂有限公司,徐州医科大学附属医院,徐州,江苏,许铁
141,CTR20180631,进行中,法匹拉韦片,成人新型或复发流感的治疗的抗甲型（包括H1N1）或者乙型流感病毒药物（仅限于其它抗流感病毒药物治疗无效或效果不佳时使用）,评价军科院法匹拉韦片与原研制剂的生物等效性研究,中国人民解放军军事医学科学院毒物药物研究所,中国人民解放军第三〇七医院临床药理学研究室,北京,北京,董瑞华
142,CTR20180630,进行中,恩替卡韦片,本品适用于以下慢性成人乙型肝炎的治疗：（1）代偿性肝病和病毒复制活跃的证据，血清丙氨酸氨基转移酶（ALT）水平持续升高和活性炎症和/或纤维化的组织学证据；（2）失代偿性肝病。治疗2岁至18岁慢性HBV感染代偿性肝病的未经核苷治疗的小儿患者，有病毒复制活跃和血清ALT水平持续升高的证据或中度至重度炎症和/或纤维化的组织学证据。,恩替卡韦片（1 mg/片）空腹生物等效性试验,上海诺华贸易有限公司,首都医科大学附属北京地坛医院,北京市,北京市,李昂，郝晓花
143,CTR20180629,进行中,琥珀酸多西拉敏片,用于帮助减轻入睡困难,琥珀酸多西拉敏片人体生物等效性试验,苏州第四制药厂有限公司,徐州医科大学附属医院,徐州,江苏,许铁（医学硕士）
144,CTR20180626,进行中,阿莫西林胶囊,适用于敏感菌（不产β 内酰胺酶菌株）所致的下列感染：1.溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌 所致中耳炎、鼻窦炎、咽炎、扁桃体炎等上呼吸道感染。2.大肠埃希菌、奇异变形杆菌或粪肠球菌所致的泌尿生 殖道感染。3.溶血链球菌、葡萄球菌或大肠埃希菌所致的皮肤软组织感染。4.溶血链球菌、肺炎链球菌、葡萄球 菌或流感嗜血杆菌所致急性支气管炎、肺炎等下呼吸道感染。5.急性单纯性淋病。6.本品尚可用于治疗伤寒、伤 寒带菌者及钩端螺旋体病；阿莫西林亦可与克拉霉素、兰索拉唑三联用药根除胃、十二指肠幽门螺杆菌，降低消 化道溃疡复发率。,阿莫西林胶囊0.25g生物等效性试验,海南通用三洋药业有限公司,徐州医科大学附属医院,徐州,江苏,许铁  硕士研究生
145,CTR20180625,进行中,盐酸乙胺丁醇片,本品适用于与其他抗结核药联合治疗结核杆菌所致的肺结核。亦可用于结核性脑膜炎及非典型分枝杆菌感染的治疗。,盐酸乙胺丁醇片生物等效性试验,杭州民生药业有限公司,宁波市第二医院,宁波,浙江,郑南红
146,CTR20180621,进行中,盐酸左氧氟沙星片,本品适用于敏感细菌引起的轻、中度感染,盐酸左氧氟沙星片人体生物等效性研究,江苏恒瑞医药股份有限公司,南京大学医学院附属鼓楼医院,南京,江苏,李娟
148,CTR20180619,进行中,利培酮分散片,精神分裂症,利培酮分散片人体生物等效性研究,江苏恩华药业股份有限公司,上海市公共卫生临床中心,上海市,上海,刘莉
149,CTR20180617,进行中,阿托伐他汀钙片,高脂血症,阿托伐他汀钙片生物等效性试验（空腹）,上海诺华贸易有限公司,中国科学院上海药物所,上海,上海,钟大放
147,CTR20180620,进行中,阿托伐他汀钙片,高脂血症,阿托伐他汀钙片生物等效性试验（餐后）,上海诺华贸易有限公司,中国科学院上海药物所,上海,上海,钟大放
150,CTR20180610,进行中,重组人促卵泡激素注射液,在辅助生殖技术中，如体外受精（IVF）患者的超排卵,LM001与果纳芬在健康女性中的安全性和药代动力学比对研究,康宁杰瑞（吉林）生物科技有限公司,吉林大学第一医院,长春,吉林,丁艳华
151,CTR20180605,进行中,克拉霉素胶囊,1）鼻咽感染：包括扁桃体炎、咽炎、鼻窦炎； 2） 下呼吸道感染：急性支气管炎、慢性支气管炎急性发作和肺炎； 3）皮肤软组织感染：脓疱病、丹毒、毛囊炎、疖和伤口感染；4）急性中耳炎、肺炎支原体肺炎、沙眼衣原体引起的尿道炎及宫颈炎等；4）急性中耳炎、肺炎支原体肺炎、沙眼衣原体引起的尿道炎及宫颈炎等；4）急性中耳炎、肺炎支原体肺炎、沙眼衣原体引起的尿道炎及宫颈炎等；5）也用于军团菌感染，或与其他药物联合用于鸟分枝杆菌感染、幽门螺杆菌感染的治疗。,克拉霉素胶囊生物等效性试验,宜昌人福药业有限责任公司,常州市第一人民医院,常州,江苏,冯春来
152,CTR20180598,已完成,氢溴酸西酞普兰胶囊,抑郁症,氢溴酸西酞普兰胶囊人体生物等效性研究,四川科伦药业股份有限公司,上海市公共卫生临床中心药物临床试验机构,上海,上海,刘莉
153,CTR20180596,进行中,阿莫西林胶囊,适用于敏感菌(不产β内酰胺酶菌株)所致的下列感染：1）溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌所致中耳炎、鼻窦炎、咽炎、扁桃体炎等上呼吸道感染。2）大肠埃希菌、奇异变形杆菌或粪肠球菌所致的泌尿生殖道感染。3）溶血链球菌、葡萄球菌或大肠埃希菌所致的皮肤软组织感染。4）溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌所致急性支气管炎、肺炎等下呼吸道感染。5）急性单纯性淋病。6）本品尚可用于治疗伤寒、伤寒带菌者及钩端螺旋体病；阿莫西林亦可与克拉霉素、兰索拉唑三联用药根除胃、十二指肠幽门螺杆菌，降低消化道溃疡复发率。,阿莫西林胶囊生物等效性试验,山东鲁抗医药股份有限公司,武汉市传染病医院,武汉市,湖南省,张定宇
156,CTR20180592,已完成,布洛芬缓释胶囊,本品为解热镇痛药，用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、压痛、肌肉痛、神经痛、痛经，也用于普通感冒或流行性感冒引起的发热。,布洛芬缓释胶囊餐后人体生物等效性试验,吉林省力胜制药有限公司,徐州医科大学附属医院,徐州市,江苏省,朱红
155,CTR20180593,进行中,吲达帕胺片,用于治疗高血压,吲达帕胺片空腹状态下人体生物等效性研究,天津天士力（辽宁）制药有限责任公司,天津市人民医院,天津,天津市,崔桅
154,CTR20180595,进行中,奥氮平片,用于治疗精神分裂症。初始治疗有效的患者，在维持治疗期间能够保持其临床效果。用于治疗中、重度躁狂发作。对治疗有效的躁狂发作患者，可用于预防双相情感障碍的复发。,奥氮平片人体生物等效性研究,北京天衡药物研究院南阳天衡制药厂,上海市徐汇区中心医院,上海,上海,贾晶莹
157,CTR20180590,已完成,阿莫西林胶囊,阿莫西林适用于敏感菌（不产β内酰胺酶菌株）所致的下列感染： 1）溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌所致中耳炎、鼻窦炎、咽 炎、扁桃体炎等上呼吸道感染； 2）大肠埃希菌、奇异变形杆菌或粪肠球菌所致的泌尿生殖道感染； 3）溶血链球菌、葡萄球菌或大肠埃希菌所致的皮肤软组织感染； 4）溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌所致急性支气管炎、肺炎等下呼吸道感染； 5）急性单纯性淋病； 6）本品尚可用于治疗伤寒、伤寒带菌者及钩端螺旋体病；阿莫西林亦可与克拉霉 素、兰索拉唑三联用药根除胃、十二指肠幽门螺杆菌，降低消化道溃疡复发率。,阿莫西林胶囊0.25g生物等效性试验,哈药集团制药总厂,中国人民解放军沈阳军区总医院药物临床试验机构,沈阳市,辽宁省,唐云彪
158,CTR20180588,进行中,替格瑞洛片,用于急性冠脉综合征（不稳定性心绞痛、非ST段抬高心肌梗死或ST段抬高心肌梗死）,替格瑞洛片人体生物等效性试验,江西青峰药业有限公司,南昌大学第二附属医院 | 南昌大学第二附属医院,南昌市 | 南昌市,江西省 | 江西省,李剑 | 郭宁红
159,CTR20180579,进行中,盐酸美金刚缓释胶囊,用于治疗中度至重度阿尔兹海默病,盐酸美金刚缓释胶囊在健康人体中的生物等效性试验,海南合瑞制药股份有限公司,菏泽市中医医院国家药物临床试验机构,菏泽市,山东省,吴素琴
160,CTR20180578,进行中,他达拉非片,治疗男性勃起功能障碍,他达拉非片餐后生物等效性试验,海达舍画阁药业有限公司,苏州大学附属第二医院,苏州,江苏,张全英，药学学士
161,CTR20180576,已完成,盐酸克林霉素胶囊,适用于由链球菌属、葡萄球菌属及厌氧菌等敏感菌株所致的下述感染：中耳炎、鼻窦炎、化脓性扁桃体炎、肺炎；皮肤软组织感染：在治疗骨和关节感染、腹腔感染、盆腔感染、脓胸、肺脓肿、骨髓炎、败血症等疾病时，各根据情况单用或与其他抗菌药联合应用。,盐酸克林霉素胶囊人体生物等效性研究,四川科伦药业股份有限公司,辽宁中医药大学附属医院国家药物临床试验机构,沈阳,辽宁,王文萍
163,CTR20180570,进行中,阿德福韦酯片,用于治疗乙型肝炎病毒活动复制和血清氨基酸转移酶持续升高的肝功能代偿的成年慢性乙型肝炎患者。,阿德福韦酯片人体生物等效性试验,上海益生源药业有限公司,南京大学医学院附属鼓楼医院,南京,江苏,李娟
162,CTR20180573,进行中,妥洛特罗贴剂,用于缓解支气管哮喘、急性支气管炎、慢性支气管炎、肺气肿等气道阻塞性疾病所致的呼吸困难等症状,妥洛特罗贴剂的人体生物等效性研究,大化制药股份公司 | DAEHWAPHARMACEUTICALCO.,LTD.2大化制药股份公司/DAEHWAPHARMACEUTICALCO.,LTD.3深圳市制药厂/大化制药股份公司/DAEHWAPHARMACEUTICALCO.,LTD.,无锡市人民医院药物临床试验机构,无锡,江苏,贺晴
164,CTR20180567,进行中,格列吡嗪片,适用于经饮食控制及体育锻炼2～3个月疗效不满意的轻、中度2型糖尿病患者，这类糖尿病患者的胰岛β细胞需有一定的分泌胰岛素功能，且无急性并发症（如感染、创伤、酮症酸中毒、高渗性昏迷等），不合并妊娠，无严重的慢性并发症。,格列吡嗪片生物等效性试验,珠海联邦制药股份有限公司中山分公司,南昌大学第一附属医院国家药物临床试验机构,南昌市,江西省,王共先，医学硕士；魏筱华，药学学士
165,CTR20180566,进行中,西他沙星片,本品适用于由需氧性或厌氧性的革兰氏阳性菌及革兰氏阴性菌引起的炎症,西他沙星片健康人体生物等效性试验,扬子江药业集团有限公司,安徽医科大学第二附属医院,合肥市,安徽省,赵卉
166,CTR20180565,进行中,阿莫西林胶囊,适用于敏感菌(不产β内酰胺酶菌株)所致的下列感染：1.溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌所致中耳炎、鼻窦炎、咽炎、扁桃体炎等上呼吸道感染。2.大肠埃希菌、奇异变形杆菌或粪肠球菌所致的泌尿生殖道感染。3.溶血链球菌、葡萄球菌或大肠埃希菌所致的皮肤软组织感染。4.溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌所致急性支气管炎、肺炎等下呼吸道感染。5.急性单纯性淋病。6.本品尚可用于治疗伤寒、伤寒带菌者及钩端螺旋体病；阿莫西林亦可与克拉霉素、兰索拉唑三联用药根除胃、十二指肠幽门螺杆菌，降低消化道溃疡复发率。,阿莫西林胶囊生物等效性试验,珠海联邦制药股份有限公司中山分公司,南昌大学第二附属医院国家药物临床试验机构,南昌市,江西省,李剑
167,CTR20180564,进行中,盐酸二甲双胍片,用于单纯饮食控制不满意的II型糖尿病病人，尤其是肥胖和伴高胰岛素血症者，用本药不但有降血糖作用，还可能有减轻体重和高胰岛素血症的效果。对某些磺酰脲类疗效差的患者可奏效，如与磺酰脲类、小肠糖苷酶抑制剂或噻唑烷二酮类降糖药合用，较分别单用的效果更好。亦可用于胰岛素治疗的患者，以减少胰岛素用量。,盐酸二甲双胍片0.5g空腹/餐后状态下生物等效性试验,华北制药股份有限公司,安徽医科大学第二附属医院药物临床试验中心,合肥,安徽,刘丽萍
169,CTR20180562,已完成,阿昔洛韦片,适用于单纯疱疹、水痘带状疱疹、巨细胞病毒等病毒类感染。,阿昔洛韦片人体生物等效性研究,四川科伦药业股份有限公司,天津中医药大学第一附属医院药物临床试验机构,天津,天津,胡思源
170,CTR20180561,已完成,琥珀酸曲格列汀片,2型糖尿病,琥珀酸曲格列汀片人体生物等效性研究,四川科伦药物研究院有限公司,长春中医药大学附属医院药物临床试验机构,长春,吉林,杨海淼
168,CTR20180563,已完成,卡托普利片,1.高血压；2.心力衰竭,卡托普利片人体生物等效性试验,开封制药（集团）有限公司,湖州市中心医院,湖州市,浙江省,杨水新
171,CTR20180559,已完成,富马酸替诺福韦二吡呋酯片,艾滋病和乙肝,富马酸替诺福韦二吡呋酯片在健康人中的生物等效性试验,北京双鹭药业股份有限公司,北大医疗鲁中医院,淄博市,山东省,侯杰
172,CTR20180558,进行中,美洛昔康片,本品适用于骨关节炎症状加重时的短期症状治疗；类风湿性关节炎和强直性脊柱炎 的长期症状治疗,美洛昔康片生物等效性试验,扬子江药业集团有限公司,苏州大学附属第二医院药物临床试验机构办公室,苏州市,江苏省,张全英
173,CTR20180554,进行中,卡托普利片,高血压；心力衰竭,卡托普利片生物等效性试验,郑州泰丰制药有限公司,洛阳市中心医院,洛阳市,河南省,朱韶峰
175,CTR20180552,已完成,替格瑞洛片,用于急性冠脉综合征（不稳定性心绞痛、非ST段抬高心肌梗死或ST段抬高心肌梗死）患者，包括接受药物治疗和经皮冠状动脉介入（PCI）治疗的患者，降低血栓性心血管事件的发生率。,替格瑞洛片人体生物等效性研究,四川珍珠制药有限公司,中国人民解放军第三〇二医院药物临床试验机构,北京,北京,魏振满
174,CTR20180553,已完成,替格瑞洛片,用于急性冠脉综合征（不稳定性心绞痛、非ST段抬高心肌梗死或ST段抬高心肌梗死）患者，包括接受药物治疗和经皮冠状动脉介入（PCI）治疗的患者，降低血栓性心血管事件的发生率。,替格瑞洛片人体生物等效性研究,四川珍珠制药有限公司,中国人民解放军第三〇二医院药物临床试验机构,北京,北京,魏振满
176,CTR20180551,进行中,吲达帕胺片,用于治疗高血压,吲达帕胺片生物等效性试验,濮阳市汇元药业有限公司,河南省传染病医院（郑州市第六人民医院）,郑州,河南,李爽
177,CTR20180550,进行中,盐酸二甲双胍片,用于单纯饮食控制不满意的2型糖尿病，尤其是肥胖和伴高胰岛素血症者，亦可用于胰岛素治疗的患者，以减少胰岛素用量。,盐酸二甲双胍片生物等效性试验,郑州泰丰制药有限公司,中南大学湘雅医院,长沙,湖南,徐平声
178,CTR20180549,进行中,阿莫西林胶囊,阿莫西林适用于敏感菌（不产β内酰胺酶菌株）所致的感染；亦可与克拉霉素、 兰索拉唑三联用药根除胃、十二指肠幽门螺杆菌，降低消化道溃疡复发率。,阿莫西林胶囊在健康人群餐后及空腹人体生物等效性研究,山西同达药业有限公司,泰安市中医医院Ⅰ期临床研究中心,泰安,山东,乔元勋
179,CTR20180548,已完成,吲达帕胺片,原发性高血压,吲达帕胺片生物等效性试验,天津力生制药股份有限公司,北京医院,北京,北京,严蓓
180,CTR20180546,进行中,盐酸左西替利嗪片,过敏性鼻炎及慢性特发性荨麻疹,空腹/餐后评价盐酸左西替利嗪片和参比制剂生物等效性,北京韩美药品有限公司,首都医科大学宣武医院,北京,北京市,张兰
181,CTR20180544,进行中,克拉霉素片,主要用于克拉霉素敏感菌所引起的下列感染：1.鼻咽感染：扁桃体炎、咽炎、副鼻窦炎；2.下呼吸道感染：包括支 气管炎、细菌性肺炎、非典型肺炎；3.皮肤感染:脓疱病、丹毒、毛囊炎、疖和伤口感染。,克拉霉素片健康人体生物等效性研究,丽珠集团丽珠制药厂,北京大学第一医院临床药理研究所,北京,北京,吕媛
183,CTR20180540,进行中,氯雷他定片,用于缓解过敏性鼻炎有关的症状，如喷嚏、流涕、鼻痒、鼻塞以及眼部痒及灼烧感。口服药物后，鼻和眼部症状得以迅速缓解。亦适用于缓解慢性荨麻疹、瘙痒性皮肤病及其他过敏性皮肤病的症状及体征。,氯雷他定片生物等效性试验,扬子江药业集团上海海尼药业有限公司,济南市中心医院,济南市,山东省,温清
182,CTR20180542,进行中,阿哌沙班片,（1）降低非瓣膜房颤患者中风及全身性栓塞风险；（2）用于髋关节或膝关节择期置换术患者，预防静脉血栓栓塞事件（VTE）；（3）治疗深静脉栓塞形成；(4)治疗肺栓塞；（5）降低深静脉血栓形成和肺栓塞复发风险。,阿哌沙班片在健康受试者中的生物等效性研究,成都倍特药业有限公司,上海市公共卫生临床中心,上海,上海,黄琴
184,CTR20180539,进行中,重组抗人肿瘤坏死因子(TNFα)单抗注射液(阿达木单抗),强直性脊柱炎、类风湿性关节炎、银屑病,比较HL01与修美乐生物等效性和安全性是试验,华兰基因工程有限公司,河南省传染病医院（郑州市第六人民医院）,郑州,河南,李爽
185,CTR20180538,进行中,枸橼酸西地那非片,男性勃起功能障碍,枸橼酸西地那非片人体生物等效性研究,广州白云山医药集团股份有限公司白云山制药总厂,中南大学湘雅医院Ⅰ期临床研究室,长沙市,湖南省,徐平声
186,CTR20180537,进行中,阿托伐他汀钙片,A、用于原发性高胆固醇血症、混合性高脂血症、家族性Ⅲ型高脂蛋白血症经饮食治疗和其他非药物治疗疗效仍不满意时，用以降低其升高的血浆总胆固醇（TC）、低密度脂蛋白胆固醇（LDL-C）、载脂蛋白B及甘油三酯（TG）水平。 B、预防性用于存在多种冠心病风险因素的心血管系统疾病患者或伴有心血管系统疾病的Ⅱ型糖尿病患者，可降低心肌梗死（非致死性）、脑卒中、胸痛、部分心脏手术及因心力衰竭而住院等风险。,阿托伐他汀钙片（10mg）人体生物等效性研究,湖南千金湘江药业股份有限公司,中南大学湘雅医院Ι期临床试验研究中心,长沙市,湖南省,徐平声
188,CTR20180531,进行中,富马酸替诺福韦二吡呋酯片,HIV-1感染，HBV感染,富马酸替诺福韦二吡呋酯片生物等效性试验,郑州泰丰制药有限公司,安徽医科大学第二附属医院,合肥,安徽,胡伟
187,CTR20180536,已完成,头孢氨苄胶囊,适用于敏感菌所致的急性扁桃体炎、咽峡炎、中耳炎、鼻窦炎、支气管炎、肺炎等呼吸道感染、尿路感染及皮肤软组织感染等。,头孢氨苄胶囊人体生物等效性研究,湖南科伦制药有限公司,成都中医药大学附属医院药物临床试验机构,成都,四川,曾洁萍
189,CTR20180530,进行中,头孢地尼分散片,敏感菌引起的下列感染：1.咽喉炎、扁桃体炎、急性支气管炎、肺炎；2.中耳炎、鼻窦炎；3.肾盂肾炎、膀胱炎、淋菌性尿道炎；4.附件炎、宫内感染、前庭大腺炎；5.乳腺炎、肛门周围脓肿、外伤或手术伤口的继发感染；6.毛囊炎、疖、疖肿、痈、传染性脓疱病、丹毒、蜂窝组织炎、淋巴管炎、甲沟炎、皮下脓肿、粉瘤感染、慢性脓皮症；7.眼睑炎、麦粒肿、睑板腺炎。,头孢地尼分散片的人体生物等效性研究,国药集团致君（深圳）制药有限公司,南昌大学第一附属医院,南昌,江西,王共先 魏筱华
191,CTR20180523,进行中,阿莫西林胶囊,适用于敏感菌（不产β-内酰胺酶菌株）所致的下列感染： 1. 溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌所致中耳炎、鼻窦炎、咽炎、扁桃体炎等上呼吸道感染。 2. 大肠埃希菌、奇异变形杆菌或粪肠球菌所致的泌尿生殖道感染。 3. 溶血链球菌、葡萄球菌或大肠埃希菌所致的皮肤软组织感染。 4. 溶血链球菌、肺炎链球菌、葡萄球菌或流感嗜血杆菌所致急性支气管炎、肺炎等下呼吸道感染。 5. 急性单纯性淋病。 6. 本品尚可用于治疗伤寒、伤寒带菌者及钩端螺旋体病，亦可与克拉霉素、兰索拉唑三联用药根除胃、十二指肠幽门螺杆菌，降低消化道溃疡复发率。,阿莫西林胶囊在空腹及餐后状态下的生物等效性试验,康美药业股份有限公司,上海市公共卫生临床中心,上海,上海,黄琴
192,CTR20180521,进行中,卡托普利片,高血压、心力衰竭,卡托普利片生物等效性试验,湖南汉森制药股份有限公司,中南大学湘雅二医院,长沙,湖南,向大雄
190,CTR20180527,进行中,利斯的明透皮贴剂,阿尔茨海默病,利斯的明透皮贴剂的生物等效性试验,山东绿叶制药有限公司,中国人民解放军第三〇七医院,北京,北京,曲恒燕
193,CTR20180517,进行中,门冬胰岛素注射液,2型糖尿病,门胰岛素注射液在健康志愿者中的生物等效性试验,宜昌东阳光长江药业股份有限公司,四川大学华西医院,成都,四川,余叶蓉
